goos: linux
goarch: amd64
pkg: github.com/tidwall/gjson_benchmarks
BenchmarkGJSONGet-8               	11741664	       301 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11732298	       304 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11556180	       301 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11966886	       301 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11929881	       300 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11706192	       302 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11842752	       301 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11690268	       303 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11827062	       306 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGet-8               	11648322	       302 ns/op	       0 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       315 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       308 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       319 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       309 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       307 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       315 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       312 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       316 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       314 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany4Paths-8     	 4000000	       315 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       322 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       321 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       322 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       327 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       324 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       327 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       324 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       324 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       324 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany8Paths-8     	 8000000	       323 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       336 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       338 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       337 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       337 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       335 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       338 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       336 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       340 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       336 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany16Paths-8    	16000000	       332 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       331 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       330 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       333 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       340 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       335 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       337 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       337 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       335 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       336 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany32Paths-8    	32000000	       345 ns/op	      56 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       349 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       343 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       345 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       338 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       338 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       335 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       335 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       338 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       336 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany64Paths-8    	64000000	       341 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       340 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       350 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       353 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       351 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       343 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       352 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       350 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       350 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       351 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONGetMany128Paths-8   	128000000	       350 ns/op	      64 B/op	       0 allocs/op
BenchmarkGJSONUnmarshalMap-8      	  993324	      3490 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1058691	      3446 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1081776	      3516 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1053060	      3661 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	  950283	      3567 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1031520	      3543 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	  983784	      3590 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	  906144	      3626 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1068897	      3545 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalMap-8      	 1083684	      3530 ns/op	    1920 B/op	      26 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1096983	      3336 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1113933	      3310 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1066791	      3305 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1116444	      3368 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	  996690	      3313 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	  953319	      3277 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1072749	      3396 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1163754	      3310 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	 1124190	      3323 ns/op	     992 B/op	       4 allocs/op
BenchmarkGJSONUnmarshalStruct-8   	  991359	      3249 ns/op	     992 B/op	       4 allocs/op
BenchmarkJSONUnmarshalMap-8       	  522288	      7144 ns/op	    2984 B/op	      69 allocs/op
